arquivo,tamanho,tempo
entrada_100000_0.csv,100000,0.11487524999999998
entrada_100000_1.csv,100000,0.112019333
entrada_100000_10.csv,100000,0.11482529199999991
entrada_100000_11.csv,100000,0.11783083300000008
entrada_100000_12.csv,100000,0.11830229199999998
entrada_100000_13.csv,100000,0.11185416700000017
entrada_100000_14.csv,100000,0.11166925000000005
entrada_100000_2.csv,100000,0.11219908299999992
entrada_100000_3.csv,100000,0.1143758749999999
entrada_100000_4.csv,100000,0.11372004199999997
entrada_100000_5.csv,100000,0.11278295900000002
entrada_100000_6.csv,100000,0.11163458399999993
entrada_100000_7.csv,100000,0.11538562500000005
entrada_100000_8.csv,100000,0.11440649999999986
entrada_100000_9.csv,100000,0.11646466700000024
entrada_10000_0.csv,10000,0.009212750000000103
entrada_10000_1.csv,10000,0.009201625000000213
entrada_10000_10.csv,10000,0.009626042000000279
entrada_10000_11.csv,10000,0.009549625000000006
entrada_10000_12.csv,10000,0.008879832999999948
entrada_10000_13.csv,10000,0.008566624999999828
entrada_10000_14.csv,10000,0.008999332999999776
entrada_10000_2.csv,10000,0.008984250000000138
entrada_10000_3.csv,10000,0.008831790999999978
entrada_10000_4.csv,10000,0.009323415999999973
entrada_10000_5.csv,10000,0.009115582999999816
entrada_10000_6.csv,10000,0.009433333000000044
entrada_10000_7.csv,10000,0.00909454200000015
entrada_10000_8.csv,10000,0.009513625000000303
entrada_10000_9.csv,10000,0.008840791999999986
entrada_100_0.csv,100,4.8000000000048004e-05
entrada_100_1.csv,100,4.870899999964706e-05
entrada_100_10.csv,100,4.808300000025412e-05
entrada_100_11.csv,100,5.204200000008541e-05
entrada_100_12.csv,100,5.004199999980585e-05
entrada_100_13.csv,100,5.1666999999699925e-05
entrada_100_14.csv,100,4.550000000014265e-05
entrada_100_2.csv,100,4.5917000000006425e-05
entrada_100_3.csv,100,4.508299999983478e-05
entrada_100_4.csv,100,4.683300000030144e-05
entrada_100_5.csv,100,4.687499999977973e-05
entrada_100_6.csv,100,4.625000000002544e-05
entrada_100_7.csv,100,4.5415999999853796e-05
entrada_100_8.csv,100,5.2457999999866445e-05
entrada_100_9.csv,100,4.86249999998023e-05
