arquivo,tamanho,tempo
entrada_100000_0.csv,100000,0.009893000
entrada_100000_1.csv,100000,0.006133000
entrada_100000_10.csv,100000,0.005123000
entrada_100000_11.csv,100000,0.004512000
entrada_100000_12.csv,100000,0.004267000
entrada_100000_13.csv,100000,0.004092000
entrada_100000_14.csv,100000,0.004016000
entrada_100000_2.csv,100000,0.004001000
entrada_100000_3.csv,100000,0.003983000
entrada_100000_4.csv,100000,0.004131000
entrada_100000_5.csv,100000,0.004068000
entrada_100000_6.csv,100000,0.004019000
entrada_100000_7.csv,100000,0.004084000
entrada_100000_8.csv,100000,0.004088000
entrada_100000_9.csv,100000,0.004201000
entrada_10000_0.csv,10000,0.000320000
entrada_10000_1.csv,10000,0.000326000
entrada_10000_10.csv,10000,0.000324000
entrada_10000_11.csv,10000,0.000331000
entrada_10000_12.csv,10000,0.000356000
entrada_10000_13.csv,10000,0.000322000
entrada_10000_14.csv,10000,0.000326000
entrada_10000_2.csv,10000,0.000331000
entrada_10000_3.csv,10000,0.000342000
entrada_10000_4.csv,10000,0.000332000
entrada_10000_5.csv,10000,0.000323000
entrada_10000_6.csv,10000,0.000323000
entrada_10000_7.csv,10000,0.000338000
entrada_10000_8.csv,10000,0.000352000
entrada_10000_9.csv,10000,0.000328000
entrada_100_0.csv,100,0.000002000
entrada_100_1.csv,100,0.000003000
entrada_100_10.csv,100,0.000002000
entrada_100_11.csv,100,0.000002000
entrada_100_12.csv,100,0.000002000
entrada_100_13.csv,100,0.000008000
entrada_100_14.csv,100,0.000002000
entrada_100_2.csv,100,0.000003000
entrada_100_3.csv,100,0.000002000
entrada_100_4.csv,100,0.000003000
entrada_100_5.csv,100,0.000002000
entrada_100_6.csv,100,0.000002000
entrada_100_7.csv,100,0.000002000
entrada_100_8.csv,100,0.000003000
entrada_100_9.csv,100,0.000003000
